name,image_url,url,review_count,categories,rating,coordinates,price,phone,address
Qargo Coffee,https://s3-media1.fl.yelpcdn.com/bphoto/eYTXLPAHu1oSFUaQYhHqow/o.jpg,https://www.yelp.com/biz/qargo-coffee-san-jose-2?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,5,"coffee,desserts,breakfast_brunch",4,"37.4064567,-121.94168",,17869139991,"['31 Rio Robles', 'San Jose, CA 95134']"
Orchard Valley Coffee,https://s3-media3.fl.yelpcdn.com/bphoto/MDajJAC5wpcRQ9a_cTnNiw/o.jpg,https://www.yelp.com/biz/orchard-valley-coffee-san-jose?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,6,"coffee,bakeries",4,"37.350825,-121.907086",$,,"['190 W Hedding St', 'San Jose, CA 95113']"
Coffee & More,https://s3-media2.fl.yelpcdn.com/bphoto/7hXE1n0xymQQvzODmW4ULA/o.jpg,https://www.yelp.com/biz/coffee-and-more-sunnyvale-7?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,575,"coffee,sandwiches,breakfast_brunch",4.5,"37.3773678898589,-122.029697857797",$,14082451900,"['100 S Murphy Ave', 'Ste 1', 'Sunnyvale, CA 94086']"
Peet's Coffee,https://s3-media2.fl.yelpcdn.com/bphoto/97g9cHUcgwryEN3NJiTsdg/o.jpg,https://www.yelp.com/biz/peets-coffee-san-jose-10?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,133,coffee,4,"37.381897,-121.895884",$,14086102834,"['1088 E Brokaw Rd', 'Ste 80', 'San Jose, CA 95131']"
Egghead Sando Cafe,https://s3-media4.fl.yelpcdn.com/bphoto/iTa_CFI-fvDNku2N3NRnCA/o.jpg,https://www.yelp.com/biz/egghead-sando-cafe-santa-clara?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,41,"hotdogs,breakfast_brunch,coffee",4,"37.395179,-121.946108",$$,,"['3957 Rivermark Plz', 'Santa Clara, CA 95054']"
Bitter Sweet,https://s3-media3.fl.yelpcdn.com/bphoto/Sy1Bc7P1AzORhcBi4czZig/o.jpg,https://www.yelp.com/biz/bitter-sweet-cupertino?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,1091,"desserts,coffee",4,"37.3181638185566,-122.03151641898",$$,14082552600,"['20560 Town Center Ln', 'Cupertino, CA 95014']"
Peet's Coffee,https://s3-media1.fl.yelpcdn.com/bphoto/aMVP768PfCLPyWvL2WpOPg/o.jpg,https://www.yelp.com/biz/peets-coffee-santa-clara?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,263,coffee,3.5,"37.3945655822754,-121.946464538574",$$,14082130810,"['3932 Rivermark Plz', 'Santa Clara, CA 95054']"
AM Craft,https://s3-media4.fl.yelpcdn.com/bphoto/foUysamyC3knhNqMVBTgsQ/o.jpg,https://www.yelp.com/biz/am-craft-san-jose?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,39,coffee,5,"37.336437139468444,-121.87701271985449",$,14088927998,"['481 E San Carlos St', 'San Jose, CA 95112']"
Anam Cafe,https://s3-media3.fl.yelpcdn.com/bphoto/3R4NFYhTxo5RxkVir7mpAQ/o.jpg,https://www.yelp.com/biz/anam-cafe-san-jose?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,32,"coffee,vietnamese,bars",3.5,"37.3315282529382,-121.85846038429898",$$,14085160088,"['929 Story Rd', 'Ste 2000', 'San Jose, CA 95122']"
Donut Den,https://s3-media4.fl.yelpcdn.com/bphoto/gro4HM8S81qZwytcGgMd9Q/o.jpg,https://www.yelp.com/biz/donut-den-santa-clara?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,49,"bakeries,donuts",4,"37.3661994934082,-121.94189453125",$,14087481456,"['2482 De La Cruz Blvd', 'Santa Clara, CA 95050']"
Big Mug Coffee Roaster,https://s3-media3.fl.yelpcdn.com/bphoto/u7LgecqvSN5jLrDBYXqF0A/o.jpg,https://www.yelp.com/biz/big-mug-coffee-roaster-campbell?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,61,"coffee,coffeeroasteries,breakfast_brunch",4.5,"37.29177019999999,-121.9324648178091",$,14089636962,"['1725 S Bascom Ave', 'Campbell, CA 95008']"
Orbit Coffee - San Jose,https://s3-media2.fl.yelpcdn.com/bphoto/kFyBHfWuteVaSKokCzE5BA/o.jpg,https://www.yelp.com/biz/orbit-coffee-san-jose-san-jose-3?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,292,"coffee,donuts,sandwiches",4,"37.33447,-121.91505",$,,"['1520 The Alameda', 'Ste 105', 'San Jose, CA 95126']"
Nirvana Soul,https://s3-media3.fl.yelpcdn.com/bphoto/vTszAAQl8cyq2WoO7Itpeg/o.jpg,https://www.yelp.com/biz/nirvana-soul-cupertino-4?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,124,coffee,4.5,"37.32535,-122.01255",$$,14083204077,"['19700 Vallco Pkwy', 'Cupertino, CA 95014']"
Milk Belly Bakery,https://s3-media1.fl.yelpcdn.com/bphoto/d5Yzg_towwxM-Phrv--pAw/o.jpg,https://www.yelp.com/biz/milk-belly-bakery-san-jose?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,29,"bakeries,breakfast_brunch,fooddeliveryservices",5,"37.34951,-121.91216",,14086911506,"['949 Ruff Dr', 'San Jose, CA 95110']"
Con Azucar Cafe,https://s3-media3.fl.yelpcdn.com/bphoto/i2pugJkiIHvLH86AiEBebw/o.jpg,https://www.yelp.com/biz/con-azucar-cafe-san-jose?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,258,"coffee,bakeries,juicebars",4,"37.33751,-121.88837",$$,,"['101 E Santa Clara St', 'San Jose, CA 95113']"
Sweet Maple,https://s3-media2.fl.yelpcdn.com/bphoto/9ogJ161RAIuFkaw2E1fflA/o.jpg,https://www.yelp.com/biz/sweet-maple-cupertino?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,245,"breakfast_brunch,tradamerican,coffee",4,"37.322627665187746,-122.02347891137734",$$,14082160759,"['20010 Stevens Creek Blvd', 'Cupertino, CA 95014']"
Starbucks,https://s3-media4.fl.yelpcdn.com/bphoto/OGi0nKSppdnpBbI_ra2JQQ/o.jpg,https://www.yelp.com/biz/starbucks-san-jose-30?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,135,coffee,3.5,"37.37091268,-121.91720099",$$,14084519974,"['1751 N First St', 'Bel-Air', 'San Jose, CA 95112']"
Peet's Coffee,https://s3-media2.fl.yelpcdn.com/bphoto/siOZ63R3C_sELE1Zat_UbQ/o.jpg,https://www.yelp.com/biz/peets-coffee-san-jose-16?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,2,coffee,2,"37.364545,-121.917475",,,"['1721 Technology Dr', 'San Jose, CA 95110']"
Mikayla’s Cafe,https://s3-media3.fl.yelpcdn.com/bphoto/Cz5SpNjOJJzn3Ax7vwQb9g/o.jpg,https://www.yelp.com/biz/mikayla-s-cafe-santa-clara?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,133,"breakfast_brunch,burgers,sandwiches",4,"37.382908,-121.950077",$$,14086671773,"['890 Aldo Ave', 'Santa Clara, CA 95054']"
Rollo's Donut & Coffee Shop,https://s3-media2.fl.yelpcdn.com/bphoto/LsZXqcvNBrytIZ_Bi_FC_Q/o.jpg,https://www.yelp.com/biz/rollos-donut-and-coffee-shop-san-jose?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,242,"donuts,coffee",4.5,"37.3531199,-121.88612",$,14082947757,"['602 N 13th St', 'San Jose, CA 95112']"
Philz Coffee,https://s3-media1.fl.yelpcdn.com/bphoto/rnYjZjfMFHzcIh2mMVZe3A/o.jpg,https://www.yelp.com/biz/philz-coffee-san-jose-5?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,58,coffee,4,"37.307996910399744,-121.90107688515933",,14083433400,"['1115 Lincoln Ave', 'San Jose, CA 95125']"
Cyber Racoon,https://s3-media2.fl.yelpcdn.com/bphoto/JiFdkIU_eYZiTymN0RZWuA/o.jpg,https://www.yelp.com/biz/cyber-racoon-santa-clara?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,40,"lancenters,internetcafe,venues",4.5,"37.35168,-121.99218",$,14084183570,"['3464 El Camino Real', 'Santa Clara, CA 95051']"
Rose Cafe & Donuts,https://s3-media1.fl.yelpcdn.com/bphoto/U_8V1QkIsKmesyTq6gDQLA/o.jpg,https://www.yelp.com/biz/rose-cafe-and-donuts-san-jose-4?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,1155,"donuts,breakfast_brunch,sandwiches",4.5,"37.3083835869936,-121.977138946006",$$,14083793299,"['994 Saratoga Ave', 'San Jose, CA 95129']"
Egghead Sando Cafe,https://s3-media4.fl.yelpcdn.com/bphoto/4FzGVYymK-6pS-N1XqIX0A/o.jpg,https://www.yelp.com/biz/egghead-sando-cafe-san-jose-3?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,56,"breakfast_brunch,coffee,sandwiches",4,"37.334825,-121.889314",$$,14082179200,"['80 S 1st', 'San Jose, CA 95113']"
Gateway Cafe,https://s3-media4.fl.yelpcdn.com/bphoto/7eFwWYeuuJwfN3vsUw9JxQ/o.jpg,https://www.yelp.com/biz/gateway-cafe-san-jose?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,48,cafes,5,"37.370349,-121.92427",$,14084521070,"['2025 Gateway Pl', 'Ste 126', 'San Jose, CA 95110']"
Caffino Cup,https://s3-media3.fl.yelpcdn.com/bphoto/gTBWQzkHZ6YOjETzNH-WwA/o.jpg,https://www.yelp.com/biz/caffino-cup-milpitas?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,133,coffee,4.5,"37.42720487195782,-121.9120214",$$,14089213740,"['315 W Calaveras Blvd', 'Milpitas, CA 95035']"
Jin's Bakery & Coffee,https://s3-media1.fl.yelpcdn.com/bphoto/6zCkG8gN9GWnEtlNJT-q0A/o.jpg,https://www.yelp.com/biz/jins-bakery-and-coffee-santa-clara-2?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,62,bakeries,4,"37.3520184,-121.976853",$,14084238840,"['2792 El Camino Real', 'Santa Clara, CA 95051']"
Barebottle Brewing Company,https://s3-media2.fl.yelpcdn.com/bphoto/U6O-Cp2ueSscIUK16S9jnw/o.jpg,https://www.yelp.com/biz/barebottle-brewing-company-santa-clara-2?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,193,breweries,4.5,"37.382208,-121.972603",$$,14085645722,"['2520 Augustine Dr', 'Santa Clara, CA 95054']"
Starbucks,https://s3-media3.fl.yelpcdn.com/bphoto/19ABiio_3YzS9kwpad9Veg/o.jpg,https://www.yelp.com/biz/starbucks-santa-clara-24?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,109,coffee,3,"37.3521,-121.936653",$$,14082487343,"['495 El Camino Real', 'Santa Clara, CA 95050']"
Portuguese Tasty Desserts,https://s3-media2.fl.yelpcdn.com/bphoto/w4xv6ZDkeWkDV4U0OBx6wg/o.jpg,https://www.yelp.com/biz/portuguese-tasty-desserts-santa-clara?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,63,"bakeries,desserts",5,"37.35430144400808,-121.94825191449267",,14088213741,"['1085 El Camino Real', 'Santa Clara, CA 95050']"
Peet's Coffee,https://s3-media1.fl.yelpcdn.com/bphoto/qsfxWzRtGvOBNNBA12aRig/o.jpg,https://www.yelp.com/biz/peets-coffee-santa-clara-2?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,120,coffee,3.5,"37.35211,-121.960547",$,14088317517,"['2002 El Camino Real', 'Ste 20', 'Santa Clara, CA 95050']"
Philz Coffee,https://s3-media2.fl.yelpcdn.com/bphoto/FZFpfshjd4_HL7Bu7gzd4Q/o.jpg,https://www.yelp.com/biz/philz-coffee-cupertino-7?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,488,"coffee,breakfast_brunch",4,"37.3244562056948,-122.010721095241",$,14082004856,"['19439 Stevens Creek Blvd', 'Cupertino, CA 95014']"
Lotus Cafe,https://s3-media2.fl.yelpcdn.com/bphoto/uCuCGm7lwalubAawFhQ-7Q/o.jpg,https://www.yelp.com/biz/lotus-cafe-san-jose?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,23,"cafes,vietnamese,sandwiches",2.5,"37.3709030151367,-121.919006347656",$$,14082443333,"['1887 Matrix Blvd', 'Casino M8trix', 'San Jose, CA 95110']"
Cafe Big Mug,https://s3-media2.fl.yelpcdn.com/bphoto/vrbe6iOCgFjcPDbSD8nVow/o.jpg,https://www.yelp.com/biz/cafe-big-mug-santa-clara?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,135,"coffee,cafes,breakfast_brunch",4,"37.32395788187692,-121.96847608387847",$,14082967600,"['3787 Stevens Creek Blvd', 'Santa Clara, CA 95051']"
Starbucks,https://s3-media2.fl.yelpcdn.com/bphoto/dUxq6Wh_0thsD28THGfNOQ/o.jpg,https://www.yelp.com/biz/starbucks-san-jose-130?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,151,coffee,3.5,"37.35051841,-121.9222063",$$,14082990598,"['540 Newhall Dr', 'Ste 20', 'San Jose, CA 95110']"
Dunkin,https://s3-media1.fl.yelpcdn.com/bphoto/qDjzvBXrVbR07lX9bUALlg/o.jpg,https://www.yelp.com/biz/dunkin-san-jose-5?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,9,"donuts,coffee",4,"37.369372,-121.880056",,14086188114,"['1477 Berryessa Rd', 'San Jose, CA 95131']"
Hanabusa Café,https://s3-media1.fl.yelpcdn.com/bphoto/qAb6YqM1gJYMkusfMLfp7A/o.jpg,https://www.yelp.com/biz/hanabusa-caf%C3%A9-sunnyvale?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,487,"desserts,cafes",4,"37.378639,-122.04662",$$,,"['201 S Mary Ave', 'Ste 1', 'Sunnyvale, CA 94086']"
Bagel Street Cafe,https://s3-media2.fl.yelpcdn.com/bphoto/P0XxD-fAuLhIR4FFl-GQ2g/o.jpg,https://www.yelp.com/biz/bagel-street-cafe-san-jose?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,96,bagels,4,"37.3690561,-121.92035",$,14084374365,"['1757 Technology Dr', 'San Jose, CA 95110']"
iJava Cafe,https://s3-media4.fl.yelpcdn.com/bphoto/Nd-27Y1v6QUKNM-Y-hZoAQ/o.jpg,https://www.yelp.com/biz/ijava-cafe-san-jose-4?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,725,"cafes,coffee,breakfast_brunch",4.5,"37.3261211279172,-121.894719195483",$$,14087539732,"['387 Delmas Ave', 'San Jose, CA 95126']"
Cocola Bakery,https://s3-media3.fl.yelpcdn.com/bphoto/SHuwwEMiWnIKi26q1UgOIg/o.jpg,https://www.yelp.com/biz/cocola-bakery-san-jose?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,1644,"bakeries,coffee,catering",3.5,"37.3219375610352,-121.948204040527",$$,14085510018,"['333 Santana Row', 'San Jose, CA 95128']"
Paris Baguette,https://s3-media1.fl.yelpcdn.com/bphoto/XpPbb52_gd_Wjy_BdGjUsw/o.jpg,https://www.yelp.com/biz/paris-baguette-santa-clara-3?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,83,"bakeries,coffee,cakeshop",4,"37.389593,-121.984068",$$,16693008877,"['3159 Mission College Blvd', 'Santa Clara, CA 95054']"
Joyheart Cafe,https://s3-media1.fl.yelpcdn.com/bphoto/JtRZC0BORHzle_XUG64Fuw/o.jpg,https://www.yelp.com/biz/joyheart-cafe-san-jose-2?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,60,"cafes,vegan,taiwanese",4.5,"37.38768,-121.90025",$$,14086496134,"['1344 Ridder Park Dr', 'San Jose, CA 95131']"
Cafe Eden,https://s3-media1.fl.yelpcdn.com/bphoto/wG5C9YbhAHMA_c1v-QL3uw/o.jpg,https://www.yelp.com/biz/cafe-eden-san-jose-5?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,35,"cafes,mediterranean,breakfast_brunch",5,"37.3364,-121.89032",,14083202957,"['2 N First St', 'Ste 150', 'San Jose, CA 95113']"
Orchard Valley Coffee,https://s3-media2.fl.yelpcdn.com/bphoto/E0wHVud1AES1GxJfA1yYUA/o.jpg,https://www.yelp.com/biz/orchard-valley-coffee-santa-clara?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,20,"bakeries,coffee,breakfast_brunch",4,"37.323924,-121.994498",,14089823417,"['5237 Stevens Creek Blvd', 'Santa Clara, CA 95051']"
Clover Bakery & Cafe,https://s3-media4.fl.yelpcdn.com/bphoto/eGSzb1OGJAjbe23HiuX_MA/o.jpg,https://www.yelp.com/biz/clover-bakery-and-cafe-san-jose-3?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,1122,"bakeries,cafes,sandwiches",4.5,"37.3155397971275,-121.978173101276",$,14082573412,"['4342 Moorpark Ave', 'Ste A', 'San Jose, CA 95129']"
Cafe Paradise,https://s3-media3.fl.yelpcdn.com/bphoto/0Mbe21COoVIb6GMS-8mXew/o.jpg,https://www.yelp.com/biz/cafe-paradise-san-jose?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,104,"coffee,vietnamese,hookah_bars",4,"37.30065,-121.85764",$$,14085640735,"['2400 Monterey Rd', 'San Jose, CA 95111']"
Starbucks,https://s3-media4.fl.yelpcdn.com/bphoto/9VkNMrH_LfMTLovAuN20Ww/o.jpg,https://www.yelp.com/biz/starbucks-san-jose-29?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,85,coffee,3.5,"37.38533151,-121.92793391",$$,14084289887,"['2579 N First St', 'The Marketplace', 'San Jose, CA 95131']"
Stan's Donut Shop,https://s3-media4.fl.yelpcdn.com/bphoto/FKbXcwDpw_9K3h7c0TFLqA/o.jpg,https://www.yelp.com/biz/stans-donut-shop-santa-clara?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,2285,donuts,4.5,"37.338861954274,-121.97310467526",$,14082965982,"['2628 Homestead Rd', 'Santa Clara, CA 95051']"
Yeganeh Bakery & Kafe Unik,https://s3-media3.fl.yelpcdn.com/bphoto/dyZrnL3QNjpWG2czhk-0uw/o.jpg,https://www.yelp.com/biz/yeganeh-bakery-and-kafe-unik-san-jose-4?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,1158,"breakfast_brunch,sandwiches,cafes",4.5,"37.3234875728828,-121.954808267698",$$,14086661229,"['3275 Stevens Creek Blvd', 'San Jose, CA 95117']"
Greenlee's Bakery,https://s3-media1.fl.yelpcdn.com/bphoto/MePnoNXGAE7D9JrwsypBpA/o.jpg,https://www.yelp.com/biz/greenlees-bakery-san-jose?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,518,bakeries,4,"37.33198,-121.91135",$$,14082874191,"['1081 The Alameda', 'San Jose, CA 95126']"
Friends Coffee & Tea,https://s3-media1.fl.yelpcdn.com/bphoto/phXQKPsTf8lJrTSdZFAP6A/o.jpg,https://www.yelp.com/biz/friends-coffee-and-tea-san-jose?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,57,"coffee,specialed,artsandcrafts",4.5,"37.306856,-121.93233",$,14087258811,"['1029 S Bascom Ave', 'San Jose, CA 95128']"
Starbucks,https://s3-media1.fl.yelpcdn.com/bphoto/I3d91EhuF-oNcI1DvJ8tPA/o.jpg,https://www.yelp.com/biz/starbucks-san-jose-4?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,273,coffee,3.5,"37.383279105422,-121.894485",$,14085731445,"['1704 Oakland Rd', 'Ste 400', 'San Jose, CA 95131']"
Starbucks,https://s3-media4.fl.yelpcdn.com/bphoto/-nD24fkpJ5n0AnLP0-AhBQ/o.jpg,https://www.yelp.com/biz/starbucks-san-jose-22?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,355,coffee,2.5,"37.34136559933921,-121.9115763294492",$$,14082932362,"['695 Coleman Ave', 'San Jose Marketcenter', 'San Jose, CA 95110']"
Community Coffee,https://s3-media1.fl.yelpcdn.com/bphoto/8n6qqLuFUjMm7ZkSwhQFQA/o.jpg,https://www.yelp.com/biz/community-coffee-milpitas-2?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,144,coffee,4.5,"37.419794990107,-121.87545304339",$,14082628000,"['1000 S Park Victoria Dr', 'Milpitas, CA 95035']"
CA Bakehouse,https://s3-media1.fl.yelpcdn.com/bphoto/IP2WTS2NGXix_J3Xmz4nHg/o.jpg,https://www.yelp.com/biz/ca-bakehouse-san-jose?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,683,"bakeries,desserts,cakeshop",4.5,"37.331610851219914,-121.85735101004407",$$,14082879188,"['979 Story Rd', 'Unit 7066', 'San Jose, CA 95122']"
Starbucks,https://s3-media4.fl.yelpcdn.com/bphoto/zoxD_qX8ViUNw5vrvtXGoA/o.jpg,https://www.yelp.com/biz/starbucks-san-jose-156?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,70,coffee,3,"37.369241,-121.920381",$,14084519318,"['1759 Technology Dr', 'Concourse Retail Center', 'San Jose, CA 95110']"
